PAF.HDR.START,            # Start of PAF Header
PAF.TYPE                  "Instrument Setup", # Type of PAF
PAF.ID                    "", # ID for PAF
PAF.NAME                  "{PAFNAME}",# Name of PAF
PAF.DESC                  "Ephemeris / Eproc-3.0, 2018-05-12 08:36:14, IMCCE/OBSPM/CNRS"
PAF.DESC                  "Target body name: P/Giacobini-Zinner (0)"
PAF.DESC                  "Center body name: Earth {source: INPOP}"
PAF.DESC                  "Center-site name: Cerro Paranal"
PAF.DESC                  "Start time      : A.D. 2018-May-12 00:00:00.0000 UT"
PAF.DESC                  "Stop  time      : A.D. 2018-May-19 00:00:00.0000 UT"
PAF.DESC                  "Step-size       : 10.0  minutes"
PAF.DESC                  "Target pole/equ : IAU {East-longitude -}"
PAF.DESC                  "Target radii    : 0.00 x 0.00 x 0.00 km {Equator, meridian, pole}"
PAF.DESC                  "Atmos refraction: NO (AIRLESS)"
PAF.CRTE.NAME             "Eproc.ephemcc", # Name of creator
PAF.HDR.END,              # End of PAF Header
# Ephem cuts: AM = 2.60, Sun elevation = 0.00 deg.
#------------------------------------------------------------------------------
#                              Date & Time (UT)             JD              RA (J2000)     Dec (J2000)    dRA ("/s)   dDEC ("/s)   V-mag  Slit PA
#------------------------------------------------------------------------------
INS.EPHEM.RECORD          "2018-05-13T09:30:00.0000, 2458251.89583333349, 20 00 24.2445, +23 58 42.512, 0.01407058, 0.01930678, 14.0427, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T09:40:00.0000, 2458251.90277777798, 20 00 24.8606, +23 58 54.094, 0.01407159, 0.01930056, 14.0423, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T09:50:00.0000, 2458251.90972222202, 20 00 25.4768, +23 59 05.673, 0.01407340, 0.01929437, 14.0420, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T10:00:00.0000, 2458251.91666666651, 20 00 26.0931, +23 59 17.247, 0.01407601, 0.01928821, 14.0416, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T10:10:00.0000, 2458251.92361111101, 20 00 26.7095, +23 59 28.819, 0.01407939, 0.01928211, 14.0412, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T10:20:00.0000, 2458251.93055555550, 20 00 27.3262, +23 59 40.386, 0.01408356, 0.01927608, 14.0408, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T10:30:00.0000, 2458251.93750000000, 20 00 27.9430, +23 59 51.950, 0.01408850, 0.01927012, 14.0405, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T10:40:00.0000, 2458251.94444444450, 20 00 28.5601, +24 00 03.511, 0.01409419, 0.01926426, 14.0401, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T10:50:00.0000, 2458251.95138888899, 20 00 29.1774, +24 00 15.068, 0.01410064, 0.01925851, 14.0397, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T11:00:00.0000, 2458251.95833333349, 20 00 29.7951, +24 00 26.621, 0.01410782, 0.01925288, 14.0393, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T11:10:00.0000, 2458251.96527777798, 20 00 30.4131, +24 00 38.171, 0.01411573, 0.01924738, 14.0390, 0.000, *"
#------------------------------------------------------------------------------
INS.EPHEM.RECORD          "2018-05-14T06:10:00.0000, 2458252.75694444450, 20 01 43.2788, +24 22 44.308, 0.01417170, 0.01958968, 13.9960, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T06:20:00.0000, 2458252.76388888899, 20 01 43.9010, +24 22 56.060, 0.01415832, 0.01958559, 13.9956, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T06:30:00.0000, 2458252.77083333349, 20 01 44.5226, +24 23 07.811, 0.01414553, 0.01958126, 13.9952, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T06:40:00.0000, 2458252.77777777798, 20 01 45.1436, +24 23 19.558, 0.01413333, 0.01957670, 13.9948, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T06:50:00.0000, 2458252.78472222202, 20 01 45.7642, +24 23 31.303, 0.01412175, 0.01957194, 13.9945, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T07:00:00.0000, 2458252.79166666651, 20 01 46.3843, +24 23 43.045, 0.01411082, 0.01956696, 13.9941, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T07:10:00.0000, 2458252.79861111101, 20 01 47.0039, +24 23 54.783, 0.01410055, 0.01956180, 13.9937, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T07:20:00.0000, 2458252.80555555550, 20 01 47.6232, +24 24 06.519, 0.01409097, 0.01955646, 13.9933, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T07:30:00.0000, 2458252.81250000000, 20 01 48.2420, +24 24 18.251, 0.01408208, 0.01955095, 13.9929, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T07:40:00.0000, 2458252.81944444450, 20 01 48.8605, +24 24 29.980, 0.01407392, 0.01954528, 13.9926, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T07:50:00.0000, 2458252.82638888899, 20 01 49.4786, +24 24 41.706, 0.01406649, 0.01953948, 13.9922, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T08:00:00.0000, 2458252.83333333349, 20 01 50.0965, +24 24 53.428, 0.01405980, 0.01953355, 13.9918, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T08:10:00.0000, 2458252.84027777798, 20 01 50.7140, +24 25 05.146, 0.01405387, 0.01952750, 13.9914, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T08:20:00.0000, 2458252.84722222202, 20 01 51.3314, +24 25 16.861, 0.01404872, 0.01952135, 13.9910, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T08:30:00.0000, 2458252.85416666651, 20 01 51.9486, +24 25 28.572, 0.01404434, 0.01951512, 13.9907, 0.000, *"
INS.EPHEM.RECORD          "2018-05-14T08:40:00.0000, 2458252.86111111101, 20 01 52.5656, +24 25 40.279, 0.01404076, 0.01950881, 13.9903, 0.000, *"
